ticker,count,mean,std,min,25%,50%,75%,max
ACB,1419.0,0.00046265564999581305,0.020749371441590333,-0.19670200235571267,-0.007117527862208706,0.0,0.008756069511883458,0.09606986899563341
VNM,1419.0,-0.000272833995547417,0.01571295577818278,-0.14886983632112238,-0.007824745297805635,0.0,0.006574624801161888,0.06971904266389184
VJC,1419.0,0.00035750796223078265,0.01667147958250892,-0.07000000000000006,-0.00750118689666085,0.0,0.006039440249966499,0.06981317600786618
VIC,1419.0,0.0007945217326242823,0.0216991376514457,-0.10578661844484616,-0.008331626862511654,0.0,0.0069289977756796794,0.06999999999999984
VIB,1419.0,0.0003712004221286423,0.02464099573973968,-0.31062670299727524,-0.008449321912919416,0.0,0.01033598632551691,0.10855263157894757
VHM,1419.0,0.0004910370799772464,0.022263795129676616,-0.23457943925233637,-0.009264996606768827,0.0,0.009643282249665264,0.07000000000000006
VCB,1419.0,3.593647829120812e-05,0.01923158433047907,-0.31095041322314043,-0.007361963190184007,0.0,0.007628737984616385,0.06965944272445812
TPB,1419.0,0.00014971812457828735,0.024639530449217878,-0.2714843750000001,-0.009245014245014171,0.0,0.010644910644910688,0.06984478935698446
TCB,1419.0,0.0007452108299809339,0.024829338928799745,-0.48654244306418215,-0.008602309673898523,0.0,0.010975626079158363,0.06991525423728806
STB,1419.0,0.001621432924169731,0.02472183673459915,-0.06997084548104948,-0.010963201711137516,0.0016722408026756952,0.013506118416052315,0.07000000000000006
SSI,1419.0,0.0009102822871679191,0.028366876620371795,-0.26738410596026485,-0.011257075272450734,0.0,0.013216115510014004,0.06995884773662553
SHB,1419.0,0.001074566724837417,0.02811193725642164,-0.18213058419243988,-0.009901960784313713,0.0,0.01168907471170133,0.10000000000000009
SAB,1419.0,-0.0007329029097445049,0.021712283569159357,-0.48920863309352525,-0.008613270817259155,0.0,0.00738166492721537,0.06988249845392702
VPB,1419.0,0.0010288829867385768,0.023676281867186826,-0.3248175182481752,-0.009333349925955359,0.0,0.010846038019951099,0.06991525423728806
PLX,1419.0,-4.302189970083555e-05,0.019701898575023538,-0.09367088607594942,-0.009236351892362937,0.0,0.00890873015873006,0.0698856416772553
MSN,1419.0,0.0004922020717425242,0.02291215424613291,-0.15555555555555556,-0.010826337440520695,0.0,0.011912645853043191,0.06993006993007
MBB,1419.0,0.00037669581421612933,0.022847352181669403,-0.28793309438470727,-0.008064516129032251,0.0,0.010212009343845252,0.0692041522491349
LPB,1419.0,0.0018548257139604006,0.026524853573822033,-0.20876288659793807,-0.011138959371180757,0.0,0.013179607434427698,0.11267605633802824
HPG,1419.0,0.0004878746446491878,0.024449207349628698,-0.25161290322580643,-0.00968062375829365,0.0,0.011612922560537142,0.06944444444444442
HDB,1419.0,0.000522400865046474,0.023362944514150916,-0.207667731629393,-0.008583730515069943,0.0,0.010849945063569288,0.06968641114982588
GVR,1419.0,0.0010103039552861578,0.02874022092888515,-0.07000000000000006,-0.012953367875647714,0.0016977928692700761,0.016842179909938637,0.06999999999999984
GAS,1419.0,9.709520687613312e-05,0.02010162570702935,-0.14647887323943654,-0.008309593516465319,0.0,0.009211199698324624,0.07000000000000006
FPT,1419.0,0.0006093000892638563,0.019773023617197814,-0.2163636363636363,-0.0072203107079553686,0.0,0.009536802442668746,0.06996587030716728
DGC,1419.0,0.0013987028329788035,0.029170666160488055,-0.507277397260274,-0.01025644022628458,0.0,0.013578501793821918,0.08918918918918917
CTG,1419.0,0.0009174418506403272,0.02210084410073572,-0.19484536082474235,-0.009182744198596937,0.0010952902519167917,0.011235955056179803,0.06991525423728806
BID,1419.0,0.00036039825284094024,0.021786619330543582,-0.20323325635103917,-0.008611420096403366,0.0,0.010729663143837387,0.0699708454810497
BCM,1419.0,0.0009708385278186442,0.02413789841831456,-0.1357142857142858,-0.00954418020923653,0.0,0.008915304606240904,0.12565445026178002
MWG,1419.0,0.0003661087945726578,0.026829412741829876,-0.46513202437373047,-0.009398629072150388,0.0,0.011895917356541386,0.06995884773662553
VRE,1419.0,0.0003546216834545156,0.023850663153325236,-0.06994328922495263,-0.011826096077197423,0.0,0.011439476553980366,0.07000000000000006
