ticker,0
VJC,19
VNM,15
VIB,8
ACB,7
MBB,6
FPT,6
BCM,6
HDB,6
TPB,5
SHB,4
HPG,4
BID,3
VCB,3
LPB,3
DGC,2
CTG,2
GAS,2
MWG,2
SSI,2
VIC,1
TCB,1
PLX,1
SAB,1
VHM,1
MSN,1
VPB,1
STB,0
GVR,0
VRE,0
