Portfolio,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
Aggressive (High β),0.15714408583305148,0.305810493534278,0.5088098700706843,-0.45522108838328434
Stable (Low β),0.09625606189007588,0.2003541321889934,0.4727198411316586,-0.3701535833265868
