,forecast_return,lower_ci,upper_ci,price_forecast
2025-11-24,0.005118436798220185,-0.028569591262117406,0.03880646485855778,195.59604780093366
2025-11-25,0.0018110840764049211,-0.03201536546184892,0.03563753361465876,195.9502886885137
2025-11-26,0.0008810528793014231,-0.032979982999410885,0.03474208875801373,196.12293125456264
2025-11-27,0.0006736776269594326,-0.03318829980303248,0.034535655056951345,196.25505488548254
2025-11-28,0.0006202773914375292,-0.033241794085632805,0.034482348868507866,196.3767874589833
2025-12-01,0.0006077206123577005,-0.033254354949099216,0.03446979617381461,196.4961296805107
2025-12-02,0.0006045955307262472,-0.03325748032665944,0.034466671388111936,196.61493036232056
2025-12-03,0.0006038450380006302,-0.0332582308348884,0.03446592091088966,196.7336553124167
2025-12-04,0.0006036607325291908,-0.03325841514135376,0.03446573660641214,196.85241569489574
2025-12-05,0.000603616101652532,-0.03325845977228653,0.0344656919755916,196.9712389826584
2025-12-08,0.0006036051984693618,-0.033258470675473134,0.03446568107241185,197.09013184645727
2025-12-09,0.0006036025495200713,-0.033258473324422624,0.034465678423462764,197.20909595252502
2025-12-10,0.0006036019037207737,-0.03325847397022193,0.034465677777663475,197.32813173827302
2025-12-11,0.0006036017466200521,-0.03325847412732265,0.034465677620562754,197.44723934324747
2025-12-12,0.0006036017083507573,-0.033258474165591946,0.03446567758229346,197.56641883422418
2025-12-15,0.0006036016990364283,-0.03325847417490627,0.03446567757297913,197.6856702603051
2025-12-16,0.0006036016967682067,-0.033258474177174494,0.03446567757071091,197.80499366630096
2025-12-17,0.0006036016962160358,-0.03325847417772666,0.03446567757015874,197.92438909599792
2025-12-18,0.0006036016960815884,-0.03325847417786111,0.03446567757002429,198.04385659295218
2025-12-19,0.0006036016960488562,-0.03325847417789385,0.034465677569991554,198.16339620068376
2025-12-22,0.0006036016960408867,-0.033258474177901814,0.03446567756998359,198.28300796272373
2025-12-23,0.0006036016960389463,-0.03325847417790376,0.034465677569981645,198.40269192262576
2025-12-24,0.0006036016960384739,-0.03325847417790423,0.034465677569981173,198.52244812396881
2025-12-25,0.0006036016960383588,-0.03325847417790434,0.03446567756998106,198.64227661035818
2025-12-26,0.0006036016960383309,-0.03325847417790437,0.034465677569981035,198.76217742542508
2025-12-29,0.000603601696038324,-0.033258474177904375,0.03446567756998103,198.88215061282733
2025-12-30,0.0006036016960383224,-0.03325847417790438,0.03446567756998102,199.002196216249
2025-12-31,0.000603601696038322,-0.03325847417790438,0.03446567756998102,199.12231427940043
2026-01-01,0.0006036016960383219,-0.03325847417790438,0.03446567756998102,199.24250484601853
2026-01-02,0.0006036016960383219,-0.03325847417790438,0.03446567756998102,199.3627679598665
